"Kön","Ålder","Ålder5","Ålder10","Avdelning","Omfattning","Frånvaro","Lön","Anställning","Förtroendearbetstid","Karriaärnivå","Arbetsområde","Arbetsområde1","Personalansvar","Anställd_sedan","Anställningstid"
"kvinna",51,"50-54","50-59","Marknad",100,0,48620,"Tillsvidare","Ja",5,10,1,NA,2014-11-05,49
"kvinna",59,"55-59","50-59","Produktion",100,0,60860,"Tillsvidare","Ja",5,10,1,"Ja",1990-02-13,345
"man",64,"60-64","60-","Produktion",100,0,54315,"Tillsvidare","Ja",5,10,1,NA,1993-03-01,309
"man",42,"40-44","40-49","Produktion",100,12.9,60860,"Tillsvidare","Ja",5,10,1,"Ja",2003-03-18,188
"kvinna",51,"50-54","50-59","Produktion",100,0,36805,"Tillsvidare","Nej",3,10,1,NA,1991-05-01,331
"man",36,"35-39","30-39","Produktion",100,10,36125,"Tillsvidare","Nej",3,10,1,NA,2010-05-19,102
"man",33,"30-34","30-39","Produktion",100,0,27200,"Tidsbegränsad","Nej",3,10,1,NA,2016-08-17,27
"kvinna",30,"30-34","30-39","Produktion",100,0,29750,"Tillsvidare","Nej",3,10,1,NA,2015-03-31,44
"man",30,"30-34","30-39","Produktion",100,0,27200,"Tidsbegränsad","Nej",3,10,1,NA,2017-01-10,22
"kvinna",28,"25-29","-29","Produktion",100,0,29750,"Tidsbegränsad","Nej",3,10,1,NA,2014-06-10,53
"kvinna",34,"30-34","30-39","Produktion",100,0,31025,"Tillsvidare","Nej",3,10,1,NA,2012-08-07,75
"kvinna",34,"30-34","30-39","Produktion",100,100,36210,"Tillsvidare","Nej",3,10,1,NA,2014-06-03,54
"man",34,"30-34","30-39","Produktion",100,10,31365,"Tidsbegränsad","Nej",3,10,1,NA,2015-04-28,43
"kvinna",32,"30-34","30-39","Produktion",100,0,37825,"Tidsbegränsad","Nej",3,10,1,NA,2016-06-21,29
"man",31,"30-34","30-39","Produktion",100,100,34000,"Tillsvidare","Nej",3,10,1,NA,2012-07-05,77
"kvinna",29,"25-29","-29","Produktion",100,0,29750,"Tillsvidare","Nej",3,10,1,NA,2015-01-13,46
"kvinna",27,"25-29","-29","Produktion",100,0,29750,"Tidsbegränsad","Nej",3,10,1,NA,2014-07-09,52
"kvinna",27,"25-29","-29","Produktion",100,0,27200,"Tidsbegränsad","Nej",3,10,1,NA,2016-03-15,32
"kvinna",36,"35-39","30-39","Produktion",100,100,40120,"Tillsvidare","Nej",4,10,1,NA,2009-05-01,115
"man",35,"35-39","30-39","Produktion",100,0,39100,"Tillsvidare","Nej",4,10,1,NA,2009-06-05,114
"man",46,"45-49","40-49","Produktion",100,9.68,44327.5,"Tillsvidare","Ja",4,10,1,NA,1998-06-23,245
"man",48,"45-49","40-49","Produktion",100,0,47005,"Tillsvidare","Ja",5,10,1,NA,1997-07-01,257
"man",41,"40-44","40-49","Produktion",100,9.68,48535,"Tillsvidare","Ja",5,10,1,"Nej",2001-07-10,208
"man",67,"65-","60-","Produktion",100,0,51000,"Tillsvidare","Ja",5,10,1,NA,2001-08-14,207
"kvinna",44,"40-44","40-49","Produktion",100,0,48535,"Tillsvidare","Ja",5,10,1,"Nej",2010-09-14,98
"man",56,"55-59","50-59","Lager",100,0,61455,"Tillsvidare","Ja",5,10,1,"Ja",1997-12-01,252
"kvinna",43,"40-44","40-49","Lager",100,0,44880,"Tillsvidare","Ja",3,10,1,NA,2013-01-31,70
"kvinna",35,"35-39","30-39","Lager",100,0,44455,"Tillsvidare","Ja",3,10,1,NA,2014-10-01,50
"man",41,"40-44","40-49","Lager",100,0,40290,"Tillsvidare","Nej",3,10,1,NA,2013-03-07,69
"man",40,"40-44","40-49","Lager",100,30.97,41225,"Tillsvidare","Nej",3,10,1,NA,2011-02-15,93
"kvinna",38,"35-39","30-39","Lager",100,25.16,41480,"Tillsvidare","Nej",3,10,1,NA,2012-10-23,73
"kvinna",35,"35-39","30-39","Lager",100,50,32300,"Tillsvidare","Nej",3,10,1,NA,2008-06-10,125
"kvinna",33,"30-34","30-39","Lager",100,0,36890,"Tillsvidare","Nej",3,10,1,NA,2015-04-03,44
"man",32,"30-34","30-39","Lager",100,0,31705,"Tillsvidare","Nej",3,10,1,NA,2012-10-30,73
"man",31,"30-34","30-39","Lager",100,0,30175,"Tillsvidare","Nej",3,10,1,NA,2014-03-18,56
"kvinna",31,"30-34","30-39","Lager",100,100,31450,"Tillsvidare","Nej",3,10,1,NA,2012-10-30,73
"man",48,"45-49","40-49","Lager",100,0,45135,"Tillsvidare","Ja",4,10,1,NA,2000-10-31,217
"kvinna",44,"40-44","40-49","Lager",100,0,47600,"Tillsvidare","Ja",4,10,1,NA,2010-01-19,106
"man",53,"50-54","50-59","Lager",100,0,43690,"Tillsvidare","Nej",4,10,1,NA,1997-07-01,257
"man",42,"40-44","40-49","Lager",100,10.32,41905,"Tillsvidare","Nej",4,10,1,NA,2004-03-31,176
"man",40,"40-44","40-49","Lager",100,0,40290,"Tillsvidare","Nej",4,10,1,NA,2011-05-13,90
"man",39,"35-39","30-39","Lager",100,0,38505,"Tillsvidare","Ja",4,10,1,NA,2010-01-12,106
"kvinna",37,"35-39","30-39","Lager",100,10,44285,"Tillsvidare","Ja",4,10,1,NA,2012-06-15,77
"man",36,"35-39","30-39","Lager",100,0,39270,"Tillsvidare","Nej",4,10,1,NA,2010-06-01,102
"man",52,"50-54","50-59","Lager",100,0,43095,"Tillsvidare","Ja",5,10,1,NA,2002-01-01,203
"man",45,"45-49","40-49","Lager",100,0,46155,"Tillsvidare","Ja",5,10,1,NA,2012-08-07,75
"man",42,"40-44","40-49","Lager",100,0,45390,"Tillsvidare","Ja",5,10,1,NA,2010-03-01,105
"man",46,"45-49","40-49","Lager",100,19.35,48875,"Tillsvidare","Ja",5,10,1,"Nej",2005-08-01,160
"kvinna",53,"50-54","50-59","Administration",100,0,59075,"Tillsvidare","Ja",5,10,1,NA,1994-05-01,295
"man",51,"50-54","50-59","Administration",100,0,72250,"Tillsvidare","Ja",5,10,1,NA,1993-07-01,305
"kvinna",45,"45-49","40-49","Administration",100,0,62050,"Tillsvidare","Ja",5,10,1,"Ja",2000-09-19,218
"man",64,"60-64","60-","Administration",100,50,55590,"Tillsvidare","Ja",5,10,1,NA,2001-04-25,211
"man",53,"50-54","50-59","Administration",100,0,61030,"Tillsvidare","Ja",5,10,1,"Ja",1998-01-01,251
"man",51,"50-54","50-59","Administration",100,0,61200,"Tillsvidare","Ja",5,10,1,"Ja",2011-03-22,92
"kvinna",41,"40-44","40-49","Administration",100,3.23,37655,"Tillsvidare","Ja",3,10,1,NA,2015-03-01,45
"kvinna",55,"55-59","50-59","Administration",100,0,42415,"Tillsvidare","Nej",3,10,1,NA,2012-12-31,71
"kvinna",51,"50-54","50-59","Administration",100,0,49470,"Tidsbegränsad","Ja",3,10,1,NA,2015-11-03,37
"kvinna",39,"35-39","30-39","Administration",100,1.61,39950,"Tidsbegränsad","Ja",3,10,1,NA,2016-08-31,27
"kvinna",35,"35-39","30-39","Administration",100,0,34850,"Tillsvidare","Nej",3,10,1,NA,2012-05-15,78
"man",28,"25-29","-29","Administration",100,0,29070,"Tillsvidare","Nej",3,10,1,NA,2015-08-25,39
"kvinna",27,"25-29","-29","Administration",100,0,24650,"Tidsbegränsad","Nej",3,10,1,NA,2016-11-15,24
"kvinna",47,"45-49","40-49","Administration",100,0,36975,"Tillsvidare","Nej",3,10,1,NA,2005-01-25,166
"kvinna",37,"35-39","30-39","Administration",100,100,36550,"Tillsvidare","Nej",3,10,1,NA,2015-02-17,45
"kvinna",37,"35-39","30-39","Administration",100,0,35700,"Tillsvidare","Ja",3,10,1,NA,2009-02-03,118
"man",35,"35-39","30-39","Administration",100,0,36380,"Tillsvidare","Ja",3,10,1,NA,2015-04-07,43
"man",34,"30-34","30-39","Administration",100,0,34000,"Tidsbegränsad","Ja",3,10,1,NA,2016-08-04,28
"kvinna",32,"30-34","30-39","Administration",100,0,33575,"Tillsvidare","Nej",3,10,1,NA,2015-04-01,44
"kvinna",34,"30-34","30-39","Administration",100,0,34000,"Tidsbegränsad","Nej",3,10,1,NA,2017-03-07,20
"kvinna",32,"30-34","30-39","Administration",100,9.68,30685,"Tillsvidare","Nej",3,10,1,NA,2012-06-12,77
"kvinna",46,"45-49","40-49","Administration",100,0,33745,"Tillsvidare","Nej",3,10,1,NA,2011-10-25,85
