Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
man;55;55-59;50-59;Ekonomi;100;0;51680;Tillsvidare;Ja;5;10;1;;2007-09-04
kvinna;54;50-54;50-59;Ekonomi;100;0;50830;Tillsvidare;Ja;5;10;1;;2000-08-01
man;51;50-54;50-59;Ekonomi;100;0;52955;Tillsvidare;Ja;5;10;1;;2012-11-06
man;45;45-49;40-49;Ekonomi;100;0;52615;Tillsvidare;Ja;5;10;1;;2007-01-10
man;41;40-44;40-49;Ekonomi;100;0;54825;Tillsvidare;Ja;5;10;1;Nej;2003-01-01
man;48;45-49;40-49;Marknad;100;0;59840;Tillsvidare;Ja;5;10;1;Ja;2010-09-28
man;60;60-64;60-;Marknad;100;0;58225;Tillsvidare;Ja;5;10;1;Ja;1993-06-09
man;36;35-39;30-39;Marknad;100;0;38505;Tillsvidare;Nej;3;10;1;;2013-04-23
man;28;25-29;-29;Marknad;100;0;28560;Tillsvidare;Nej;3;10;1;;2015-05-01
kvinna;26;25-29;-29;Marknad;100;0;25500;Tillsvidare;Nej;3;10;1;;2016-08-16
man;43;40-44;40-49;Marknad;100;3;38080;Tillsvidare;Nej;3;10;1;;2009-11-03
kvinna;35;35-39;30-39;Marknad;100;2;39355;Tillsvidare;Nej;3;10;1;;2013-09-10
man;31;30-34;30-39;Marknad;100;0;31365;Tillsvidare;Nej;3;10;1;;2013-06-04
kvinna;40;40-44;40-49;Marknad;100;25;39865;Tillsvidare;Nej;3;10;1;;2013-10-01
man;36;35-39;30-39;Marknad;100;0;46750;Tillsvidare;Nej;3;10;1;;2017-03-21
man;36;35-39;30-39;Marknad;100;0;24225;Tidsbegränsad;Nej;3;10;1;;2016-06-12
kvinna;41;40-44;40-49;Marknad;100;0;39355;Tillsvidare;Nej;3;10;1;;2004-07-31
kvinna;52;50-54;50-59;Marknad;100;0;44200;Tillsvidare;Nej;4;10;1;;2000-08-01
man;35;35-39;30-39;Marknad;100;16;41310;Tillsvidare;Ja;4;10;1;;2013-04-23
kvinna;37;35-39;30-39;Marknad;100;0;42585;Tillsvidare;Ja;4;10;1;Nej;2009-09-17
kvinna;53;50-54;50-59;Marknad;100;0;44455;Tillsvidare;Nej;4;10;1;;2007-05-15
kvinna;42;40-44;40-49;Marknad;100;100;45985;Tillsvidare;Nej;4;10;1;;2008-03-11
man;45;45-49;40-49;Marknad;100;0;44795;Tillsvidare;Nej;4;10;1;;2005-11-01
man;67;65-;60-;Marknad;100;0;55165;Tillsvidare;Ja;5;10;1;Nej;2002-01-15
kvinna;63;60-64;60-;Marknad;100;0;50490;Tillsvidare;Ja;5;10;1;;1994-05-01
kvinna;51;50-54;50-59;Marknad;100;0;48620;Tillsvidare;Ja;5;10;1;;2014-11-05
kvinna;59;55-59;50-59;Produktion;100;0;60860;Tillsvidare;Ja;5;10;1;Ja;1990-02-13
man;64;60-64;60-;Produktion;100;0;54315;Tillsvidare;Ja;5;10;1;;1993-03-01
